ref,name,country,continent,knownFor,tags,imageUrl
gangtok,Gangtok,India,Asia,"Gangtok is the capital of Sikkim, nestled in the eastern Himalayas with stunning views of Mount Kanchenjunga. Visitors are drawn to its Buddhist monasteries, cable car rides offering panoramic vistas, and vibrant markets. The city serves as a gateway to treks, serves delicious Sikkimese cuisine, and showcases unique Tibetan-influenced culture.","['Mountain', 'Buddhist culture', 'Northeast']",https://storage.googleapis.com/tripedia-images/destinations/gangtok.jpg
munnar,Munnar,India,Asia,"Munnar is a hill station in Kerala known for its vast tea plantations and misty mountains. Visitors can explore sprawling tea estates, visit the Tea Museum, trek to Anamudi Peak, and spot exotic wildlife in Eravikulam National Park. The region offers breathtaking viewpoints, waterfalls, and cool climate year-round.","['Hill station', 'Tea plantations', 'Nature']",https://storage.googleapis.com/tripedia-images/destinations/munnar.jpg
varkala,Varkala,India,Asia,"Varkala is a coastal town in Kerala featuring a stunning cliff-side beach. Visitors are drawn to its dramatic cliff landscapes, pristine beaches, and spiritual atmosphere. The town offers Ayurvedic treatments, water sports, and the ancient Janardana Swami Temple. Its cliff-top cafes and laid-back vibe make it popular among yogis and backpackers.","['Beach', 'Cliff', 'Spiritual']",https://storage.googleapis.com/tripedia-images/destinations/varkala.jpg
mcleodganj,McLeodganj,India,Asia,"McLeodganj, known as 'Little Lhasa,' is the residence of the Dalai Lama and a center of Tibetan culture. Visitors can explore Buddhist monasteries, learn meditation, and enjoy panoramic Himalayan views. The town offers vibrant markets selling Tibetan crafts, trekking opportunities to Triund, and a unique blend of Tibetan and Indian cultures.","['Mountain', 'Buddhist culture', 'Trekking']",https://storage.googleapis.com/tripedia-images/destinations/mcleodganj.jpg
rishikesh,Rishikesh,India,Asia,"Rishikesh is known as the 'Yoga Capital of the World' and a gateway to the Himalayas. Visitors come for yoga retreats, meditation, and spiritual experiences along the sacred Ganges River. The town offers adventure activities like white-water rafting, the iconic Laxman Jhula suspension bridge, and evening Ganga Aarti ceremonies.","['Spiritual', 'Yoga', 'Adventure']",https://storage.googleapis.com/tripedia-images/destinations/rishikesh.jpg
alleppey,Alleppey,India,Asia,"Alleppey, also known as Alappuzha, is famous for its network of backwaters and houseboat cruises. Visitors can glide through serene canals on traditional kettuvallams, witness rural Kerala life, and enjoy local cuisine. The region offers pristine beaches, the annual Snake Boat Race, and a glimpse into Kerala's agricultural traditions.","['Backwaters', 'Houseboats', 'Rural']",https://storage.googleapis.com/tripedia-images/destinations/alleppey.jpg
darjeeling,Darjeeling,India,Asia,"Darjeeling is a hill station famous for its tea plantations and views of Mount Kanchenjunga. Visitors can ride the UNESCO-listed Darjeeling Himalayan Railway, visit tea estates, and watch sunrise from Tiger Hill. The town blends colonial architecture with Himalayan culture and offers botanical gardens, monasteries, and the Himalayan Mountaineering Institute.","['Hill station', 'Tea plantations', 'Colonial']",https://storage.googleapis.com/tripedia-images/destinations/darjeeling.jpg
nainital,Nainital,India,Asia,"Nainital is a charming hill station built around a pear-shaped lake in Uttarakhand. Visitors enjoy boating on Naini Lake, panoramic views from Snow View Point, and shopping on Mall Road. The town offers cable car rides, nature walks, and a pleasant climate, making it a popular retreat for families and honeymooners.","['Hill station', 'Lake', 'Family friendly']",https://storage.googleapis.com/tripedia-images/destinations/nainital.jpg
shimla,Shimla,India,Asia,"Shimla, the former summer capital of British India, is known for its colonial architecture and Himalayan views. Visitors stroll down the Ridge and Mall Road, ride the UNESCO-listed Kalka-Shimla railway, and ski at nearby Kufri. The hill station offers historic buildings, Christ Church, and beautiful forest trails.","['Hill station', 'Colonial', 'Mountain']",https://storage.googleapis.com/tripedia-images/destinations/shimla.jpg
ooty,Ooty,India,Asia,"Ooty, known as the 'Queen of Hill Stations,' is famous for its pleasant climate and scenic beauty in the Nilgiri Hills. Visitors can ride the heritage Nilgiri Mountain Railway, explore botanical gardens, and boat on Ooty Lake. The region is known for tea plantations, chocolate factories, and colonial-era buildings.","['Hill station', 'Colonial', 'Nature']",https://storage.googleapis.com/tripedia-images/destinations/ooty.jpg
jaipur,Jaipur,India,Asia,"Jaipur, the 'Pink City,' is known for its distinctive terracotta-colored buildings and majestic forts. Visitors explore the magnificent Amber Fort, City Palace, and Hawa Mahal. The city offers vibrant bazaars selling textiles and jewelry, traditional Rajasthani cuisine, and cultural experiences like puppet shows and folk performances.","['Heritage', 'Forts', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/jaipur.jpg
lonavala,Lonavala,India,Asia,"Lonavala is a popular hill station in the Western Ghats near Mumbai and Pune. Visitors come for its scenic viewpoints, waterfalls like Bhushi Dam, and caves like Karla and Bhaja. The town is famous for its chikki (traditional sweet), monsoon beauty, and proximity to Rajmachi Fort and Tiger's Leap.","['Hill station', 'Weekend getaway', 'Monsoon']",https://storage.googleapis.com/tripedia-images/destinations/lonavala.jpg
mussoorie,Mussoorie,India,Asia,"Mussoorie is a hill station known as the 'Queen of Hills' with panoramic views of the Himalayas. Visitors stroll along the famous Mall Road, enjoy the cable car to Gun Hill, and visit Kempty Falls. The town features colonial architecture, vibrant markets, and literary connections as the home of Ruskin Bond.","['Hill station', 'Colonial', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/mussoorie.jpg
kodaikanal,Kodaikanal,India,Asia,"Kodaikanal is a tranquil hill station in Tamil Nadu known as the 'Princess of Hill Stations.' Visitors enjoy boating on Kodai Lake, trekking to Dolphin's Nose, and views from Pillar Rocks. The town offers a mild climate, pine forests, waterfalls, and homemade artisanal chocolates.","['Hill station', 'Lake', 'Nature']",https://storage.googleapis.com/tripedia-images/destinations/kodaikanal.jpg
dalhousie,Dalhousie,India,Asia,"Dalhousie is a charming hill station established by the British with colonial architecture and mountain views. Visitors explore Scottish and Victorian buildings, trek to Dainkund Peak, and visit Khajjiar, known as 'Mini Switzerland.' The town offers pine-covered valleys, scenic hiking trails, and a peaceful atmosphere.","['Hill station', 'Colonial', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/dalhousie.jpg
pachmarhi,Pachmarhi,India,Asia,"Pachmarhi is a hill station and the only hill station in Madhya Pradesh, located in Satpura National Park. Visitors can explore ancient caves with rock paintings, hike to waterfalls like Bee Falls, and enjoy panoramic views from Dhupgarh. The area offers rich biodiversity, colonial architecture, and prehistoric archaeological sites.","['Hill station', 'National park', 'Caves']",https://storage.googleapis.com/tripedia-images/destinations/pachmarhi.jpg
varanasi,Varanasi,India,Asia,"Varanasi is one of the world's oldest continuously inhabited cities and a major spiritual center for Hinduism. Visitors witness riverside rituals along the Ganges, explore ancient temples like Kashi Vishwanath, and experience sunrise boat rides. The city is known for its ghats, evening Ganga Aarti ceremony, and classical music traditions.","['Spiritual', 'Heritage', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/varanasi.jpg
mumbai,Mumbai,India,Asia,"Mumbai is India's financial capital and home to Bollywood. Visitors explore colonial landmarks like Gateway of India, experience the bustling Dhobi Ghat and Crawford Market, and enjoy the seaside promenade of Marine Drive. The city offers diverse culinary experiences, vibrant nightlife, and fascinating contrasts of wealth and tradition.","['Metropolitan', 'Bollywood', 'Colonial']",https://storage.googleapis.com/tripedia-images/destinations/mumbai.jpg
agra,Agra,India,Asia,"Agra is home to the iconic Taj Mahal, one of the Seven Wonders of the World. Visitors marvel at this marble mausoleum, explore the red sandstone Agra Fort, and visit the abandoned city of Fatehpur Sikri. The city is known for its Mughal architecture, marble craftsmanship, and traditional Mughlai cuisine.","['Heritage', 'Taj Mahal', 'Mughal']",https://storage.googleapis.com/tripedia-images/destinations/agra.jpg
kolkata,Kolkata,India,Asia,"Kolkata is known as India's cultural capital with a rich literary, artistic, and political heritage. Visitors explore colonial architecture like Victoria Memorial, experience the hand-pulled rickshaws, and visit Mother Teresa's Missionaries of Charity. The city is famous for its intellectual coffee houses, Durga Puja festival, and Bengali cuisine.","['Cultural', 'Colonial', 'Metropolitan']",https://storage.googleapis.com/tripedia-images/destinations/kolkata.jpg
jodhpur,Jodhpur,India,Asia,"Jodhpur, the 'Blue City,' is known for its indigo-colored houses and imposing Mehrangarh Fort. Visitors explore the majestic fort, stroll through the blue-painted old city, and visit Umaid Bhawan Palace. The city offers vibrant markets selling textiles and handicrafts, traditional Rajasthani cuisine, and desert cultural experiences.","['Heritage', 'Forts', 'Desert']",https://storage.googleapis.com/tripedia-images/destinations/jodhpur.jpg
bangalore,Bangalore,India,Asia,"Bangalore, known as India's Silicon Valley, is a modern tech hub with pleasant climate and beautiful gardens. Visitors explore the historic Bangalore Palace, stroll through Lalbagh Botanical Garden, and experience the city's microbrewery scene. The city offers a mix of colonial buildings, tech campuses, and a vibrant food culture.","['Metropolitan', 'Garden city', 'Technology']",https://storage.googleapis.com/tripedia-images/destinations/bangalore.jpg
amritsar,Amritsar,India,Asia,"Amritsar is home to the Golden Temple, the holiest shrine in Sikhism. Visitors witness the spiritual ambiance of the gilded temple, attend the community kitchen serving thousands daily, and observe the border-closing ceremony at Wagah. The city is known for its Punjabi culture, historic Jallianwala Bagh, and delicious cuisine.","['Spiritual', 'Heritage', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/amritsar.jpg
delhi,Delhi,India,Asia,"Delhi, India's capital, blends ancient monuments with colonial and modern architecture. Visitors explore UNESCO sites like Qutub Minar and Humayun's Tomb, experience the vibrant markets of Old Delhi, and visit India Gate. The city offers diverse cuisine, museums, historical landmarks from multiple eras, and bustling urban energy.","['Metropolitan', 'Heritage', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/delhi.jpg
jaisalmer,Jaisalmer,India,Asia,"Jaisalmer, the 'Golden City,' is known for its yellow sandstone architecture and Thar Desert experiences. Visitors explore the living Jaisalmer Fort, experience camel safaris and desert camping, and marvel at ornate havelis. The city offers a glimpse into Rajasthani desert life, folk performances, and intricate stone carvings.","['Desert', 'Heritage', 'Forts']",https://storage.googleapis.com/tripedia-images/destinations/jaisalmer.jpg
mount_abu,Mount Abu,India,Asia,"Mount Abu is Rajasthan's only hill station, offering respite from the desert heat. Visitors explore the intricately carved Dilwara Jain Temples, enjoy boating on Nakki Lake, and take in sunset views from Sunset Point. The area offers trekking trails, wildlife sanctuary, and a blend of Rajasthani and tribal cultures.","['Hill station', 'Temples', 'Lake']",https://storage.googleapis.com/tripedia-images/destinations/mount_abu.jpg
wayanad,Wayanad,India,Asia,"Wayanad is a rural district in Kerala known for its lush landscapes and tribal heritage. Visitors trek to Chembra Peak, explore ancient Edakkal Caves with prehistoric carvings, and spot wildlife at Wayanad Wildlife Sanctuary. The region offers spice plantations, waterfalls, and homestays with traditional Kerala cuisine.","['Nature', 'Wildlife', 'Tribal']",https://storage.googleapis.com/tripedia-images/destinations/wayanad.jpg
hyderabad,Hyderabad,India,Asia,"Hyderabad blends historic Islamic architecture with modern tech campuses. Visitors explore the iconic Charminar, majestic Golconda Fort, and opulent Chowmahalla Palace. The city is famous for its biryani and Nizami cuisine, pearl markets, and the contemporary Buddha statue at Hussain Sagar Lake.","['Heritage', 'Cuisine', 'Metropolitan']",https://storage.googleapis.com/tripedia-images/destinations/hyderabad.jpg
pondicherry,Pondicherry,India,Asia,"Pondicherry (Puducherry) is a former French colonial settlement known for its European quarter. Visitors stroll along the seaside promenade, explore French and Tamil quarters with distinct architecture, and experience spiritual renewal at Auroville. The town offers French-influenced cuisine, boutique shopping, and serene beaches.","['Colonial', 'Beach', 'Spiritual']",https://storage.googleapis.com/tripedia-images/destinations/pondicherry.jpg
khajuraho,Khajuraho,India,Asia,"Khajuraho is famous for its UNESCO-listed temples adorned with intricate erotic sculptures. Visitors marvel at the detailed Nagara-style architecture, attend the evening sound and light show, and explore the three temple complexes. The town showcases medieval Indian art, temple architecture, and traditional dance performances.","['Heritage', 'Temples', 'Architecture']",https://storage.googleapis.com/tripedia-images/destinations/khajuraho.jpg
chennai,Chennai,India,Asia,"Chennai is a cultural hub in South India known for its temples, beaches, and classical arts. Visitors explore Marina Beach, historic Fort St. George, and ancient temples like Kapaleeshwarar. The city is famous for Carnatic music, Bharatanatyam dance, traditional silk sarees, and authentic South Indian cuisine.","['Metropolitan', 'Cultural', 'Beach']",https://storage.googleapis.com/tripedia-images/destinations/chennai.jpg
vaishno_devi,Vaishno Devi,India,Asia,"Vaishno Devi is a major pilgrimage site dedicated to the goddess Shakti. Visitors undertake a 13 km trek up the Trikuta Mountains to reach the sacred cave shrine. The journey offers spiritual fulfillment, panoramic mountain views, and the experience of participating in one of India's most important Hindu pilgrimages.","['Pilgrimage', 'Spiritual', 'Mountain']",https://storage.googleapis.com/tripedia-images/destinations/vaishno_devi.jpg
ajanta_ellora,Ajanta and Ellora Caves,India,Asia,"The Ajanta and Ellora Caves are UNESCO World Heritage Sites featuring ancient rock-cut temples. Visitors marvel at Buddhist, Hindu, and Jain cave sculptures and paintings dating back to the 2nd century BCE. Ajanta is known for its Buddhist paintings, while Ellora features the remarkable Kailasa Temple carved from a single rock.","['Heritage', 'Caves', 'Architecture']",https://storage.googleapis.com/tripedia-images/destinations/ajanta_ellora.jpg
haridwar,Haridwar,India,Asia,"Haridwar is one of the seven holiest places in Hinduism, located where the Ganges River exits the mountains. Visitors participate in the evening Ganga Aarti ceremony, take ritual baths at Har Ki Pauri ghat, and visit ancient temples. The city serves as a gateway to pilgrimage sites and offers a deeply spiritual atmosphere.","['Spiritual', 'Pilgrimage', 'River']",https://storage.googleapis.com/tripedia-images/destinations/haridwar.jpg
kanyakumari,Kanyakumari,India,Asia,"Kanyakumari is India's southernmost tip where three seas meet - the Bay of Bengal, Arabian Sea, and Indian Ocean. Visitors witness spectacular sunrises and sunsets, visit the Vivekananda Rock Memorial, and see the towering Thiruvalluvar Statue. The town offers unique geographical features, multi-colored sand beaches, and spiritual significance.","['Coastal', 'Spiritual', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/kanyakumari.jpg
pune,Pune,India,Asia,"Pune is a vibrant city known as Maharashtra's cultural capital and educational hub. Visitors explore historic Shaniwar Wada palace, experience the Aga Khan Palace, and visit the iconic Osho Ashram. The city offers Marathi culture, thriving nightlife, numerous universities, and pleasant weather in the Western Ghats.","['Metropolitan', 'Educational', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/pune.jpg
kochi,Kochi,India,Asia,"Kochi is a coastal city in Kerala showcasing diverse colonial influences. Visitors explore the historic Fort Kochi area with Chinese fishing nets, Dutch Palace, Jewish Synagogue, and Portuguese churches. The city offers backwater cruises, Kathakali dance performances, spice markets, and Kerala's seafood cuisine.","['Colonial', 'Coastal', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/kochi.jpg
kanha_national_park,Kanha National Park,India,Asia,"Kanha National Park is one of India's largest tiger reserves and the inspiration for Rudyard Kipling's 'The Jungle Book.' Visitors come for wildlife safaris to spot Bengal tigers, leopards, sloth bears, and barasingha deer. The park features extensive sal forests, meadows, and streams, offering one of the best-managed wildlife experiences in Asia.","['Wildlife', 'National park', 'Tiger reserve']",https://storage.googleapis.com/tripedia-images/destinations/kanha_national_park.jpg
mysore,Mysore,India,Asia,"Mysore is known for its magnificent Mysore Palace, which is illuminated with thousands of lights during Dasara festival. Visitors explore opulent palaces, the historic Devaraja Market, and ascend Chamundi Hills for panoramic views. The city is famous for its silk, sandalwood products, traditional Mysore Pak sweet, and as the birthplace of Ashtanga yoga.","['Heritage', 'Palace', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/mysore.jpg
chandigarh,Chandigarh,India,Asia,"Chandigarh is India's first planned city, designed by Swiss-French architect Le Corbusier. Visitors explore the Rock Garden created from industrial and urban waste, Sukhna Lake, and the Capitol Complex. The city is known for its grid-like layout, modern architecture, well-maintained gardens, and as the capital of two states: Punjab and Haryana.","['Planned city', 'Architecture', 'Modern']",https://storage.googleapis.com/tripedia-images/destinations/chandigarh.jpg
hampi,Hampi,India,Asia,"Hampi is a UNESCO World Heritage Site featuring ruins of the Vijayanagara Empire. Visitors explore ancient temples, massive stone chariots, ornate pavilions, and royal complexes amid surreal boulder-strewn landscapes. The area offers insight into medieval South Indian architecture, coracle boat rides on the Tungabhadra River, and spectacular sunset views.","['Heritage', 'Ruins', 'Architecture']",https://storage.googleapis.com/tripedia-images/destinations/hampi.jpg
gulmarg,Gulmarg,India,Asia,"Gulmarg is a premier ski destination in Kashmir with one of Asia's highest gondola rides. Visitors enjoy skiing and snowboarding in winter, golfing at one of the world's highest golf courses in summer, and trekking with Himalayan views. The hill station offers alpine meadows, pine forests, and panoramic vistas of Nanga Parbat.","['Skiing', 'Mountain', 'Adventure']",https://storage.googleapis.com/tripedia-images/destinations/gulmarg.jpg
almora,Almora,India,Asia,"Almora is a historic hill station in Uttarakhand known for its cultural heritage and panoramic Himalayan views. Visitors explore ancient temples, colonial-era buildings, and the famous Bright End Corner for sunset views. The town offers traditional Kumaoni culture, copper craft, pine and oak forests, and spectacular views of Nanda Devi peak.","['Hill station', 'Cultural', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/almora.jpg
shirdi,Shirdi,India,Asia,"Shirdi is the spiritual home of Sai Baba, drawing millions of devotees annually. Visitors pay respects at the Sai Baba Temple, experience the Dwarkamai mosque where he lived, and attend aartis and bhajans. The town offers a glimpse into the saint's life through museums, serves prasad to all visitors, and embodies a spirit of religious harmony.","['Spiritual', 'Pilgrimage', 'Religious']",https://storage.googleapis.com/tripedia-images/destinations/shirdi.jpg
auli,Auli,India,Asia,"Auli is an emerging ski destination with pristine slopes and breathtaking views of Nanda Devi. Visitors enjoy skiing in winter, cable car rides offering panoramic vistas, and trekking during summer months. The hill station features apple orchards, coniferous forests, and the man-made Auli Lake, all set against a backdrop of snow-capped Himalayan peaks.","['Skiing', 'Mountain', 'Adventure']",https://storage.googleapis.com/tripedia-images/destinations/auli.jpg
madurai,Madurai,India,Asia,"Madurai is one of India's oldest cities, centered around the magnificent Meenakshi Amman Temple. Visitors explore the temple's towering gopurams (gateway towers), witness evening rituals, and wander through the historic Thirumalai Nayak Palace. The city offers authentic Tamil culture, vibrant textile markets, and delicious South Indian cuisine.","['Heritage', 'Temples', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/madurai.jpg
amarnath,Amarnath,India,Asia,"Amarnath is a sacred cave shrine housing a naturally formed ice lingam of Lord Shiva. Visitors undertake a challenging pilgrimage through spectacular Himalayan landscapes to reach the cave at 3,888 meters. The journey offers spiritual fulfillment, stunning mountain scenery, and participation in one of Hinduism's most arduous and revered pilgrimages.","['Pilgrimage', 'Spiritual', 'Mountain']",https://storage.googleapis.com/tripedia-images/destinations/amarnath.jpg
bodh_gaya,Bodh Gaya,India,Asia,"Bodh Gaya is where Buddha attained enlightenment under the Bodhi Tree and one of Buddhism's holiest sites. Visitors meditate at the Mahabodhi Temple Complex, explore monasteries built by various Buddhist countries, and experience the peaceful atmosphere. The town offers insights into Buddhist philosophy, meditation retreats, and ancient archaeological sites.","['Spiritual', 'Buddhist', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/bodh_gaya.jpg
mahabaleshwar,Mahabaleshwar,India,Asia,"Mahabaleshwar is a hill station in the Western Ghats known for its strawberry farms and numerous viewpoints. Visitors enjoy panoramic views from Arthur's Seat, boat on Venna Lake, and sample fresh strawberries and cream. The region offers pleasant climate, dense forests, cascading waterfalls, and a colonial-era charm from its time as a summer retreat.","['Hill station', 'Viewpoints', 'Strawberries']",https://storage.googleapis.com/tripedia-images/destinations/mahabaleshwar.jpg
visakhapatnam,Visakhapatnam,India,Asia,"Visakhapatnam, also known as Vizag, is a coastal city with pristine beaches and hills. Visitors explore Ramakrishna Beach, INS Kursura Submarine Museum, and natural wonders like Araku Valley. The city offers a submarine museum, cave formations, tribal culture in surrounding areas, and delicious seafood cuisine.","['Beach', 'Port city', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/visakhapatnam.jpg
kasol,Kasol,India,Asia,"Kasol is a village in Himachal Pradesh known for its hippie culture and Israeli influence. Visitors trek to Kheerganga, explore nearby Malana village, and relax along the Parvati River. The area offers stunning Himalayan landscapes, Israeli cuisine, trekking opportunities, and a laid-back atmosphere popular with backpackers and nature lovers.","['Hippie', 'Trekking', 'River']",https://storage.googleapis.com/tripedia-images/destinations/kasol.jpg
nashik,Nashik,India,Asia,"Nashik is one of Hinduism's holiest cities and India's wine capital. Visitors explore riverside ghats, attend the Kumbh Mela held every 12 years, and tour vineyards in the surrounding countryside. The city offers ancient temples, wine tasting experiences, the Trimbakeshwar Shiva Temple, and proximity to Pandavleni Caves.","['Spiritual', 'Wine region', 'Heritage']",https://storage.googleapis.com/tripedia-images/destinations/nashik.jpg
tirupati,Tirupati,India,Asia,"Tirupati is home to the Sri Venkateswara Temple, one of the world's most visited religious sites. Visitors climb the sacred Tirumala Hills or take a shuttle to reach the temple, participate in darshan, and receive the famous laddu prasad. The city offers insights into Dravidian temple architecture, religious practices, and the experience of one of India's wealthiest temples.","['Pilgrimage', 'Temples', 'Spiritual']",https://storage.googleapis.com/tripedia-images/destinations/tirupati.jpg
ujjain,Ujjain,India,Asia,"Ujjain is one of Hinduism's seven sacred cities and home to the revered Mahakaleshwar Jyotirlinga. Visitors attend the spectacular Shiva aarti, bathe in the holy Shipra River, and explore ancient astronomical observatory Jantar Mantar. The city showcases Madhya Pradesh's religious heritage, hosts the Kumbh Mela, and offers insights into classical Hindu traditions.","['Spiritual', 'Pilgrimage', 'Heritage']",https://storage.googleapis.com/tripedia-images/destinations/ujjain.jpg
jim_corbett_national_park,Jim Corbett National Park,India,Asia,"Jim Corbett National Park is India's oldest national park and a renowned tiger reserve. Visitors take jeep and elephant safaris to spot Bengal tigers, Asian elephants, and diverse birdlife. The park features varied landscapes from riverine belts to grasslands, the Ramganga Reservoir, and historic association with the hunter-conservationist Jim Corbett.","['Wildlife', 'National park', 'Tiger reserve']",https://storage.googleapis.com/tripedia-images/destinations/jim_corbett_national_park.jpg
gwalior,Gwalior,India,Asia,"Gwalior is dominated by its massive hilltop fort considered one of India's most impregnable. Visitors explore the fort with its palaces and temples, the elaborate Jai Vilas Palace, and Man Singh Palace with its distinctive blue tilework. The city offers rich classical music heritage as the birthplace of Tansen, historical architecture, and traditional handicrafts.","['Forts', 'Heritage', 'Historical']",https://storage.googleapis.com/tripedia-images/destinations/gwalior.jpg
mathura,Mathura,India,Asia,"Mathura is the birthplace of Lord Krishna and a major pilgrimage site. Visitors explore ancient temples, attend vibrant Holi and Janmashtami celebrations, and take boat rides on the Yamuna River. The city, along with nearby Vrindavan, offers insights into Krishna's life, colorful religious festivals, and traditional sweets like pedas.","['Spiritual', 'Krishna', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/mathura.jpg
jog_falls,Jog Falls,India,Asia,"Jog Falls is the second-highest plunge waterfall in India, where the Sharavathi River drops dramatically in four distinct cascades. Visitors witness the magnificent spectacle of water plunging 830 feet, hike to the bottom for a different perspective, and explore the surrounding Western Ghats landscape. The falls are most impressive during monsoon season.","['Waterfall', 'Nature', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/jog_falls.jpg
alibaug,Alibaug,India,Asia,"Alibaug is a coastal town and popular weekend getaway from Mumbai. Visitors enjoy beaches like Alibaug and Nagaon, explore the historic Kolaba Fort accessible during low tide, and experience water sports. The town offers seafood cuisine, beachside camping, and a more relaxed alternative to Goa with Maharashtrian coastal culture.","['Beach', 'Weekend getaway', 'Coastal']",https://storage.googleapis.com/tripedia-images/destinations/alibaug.jpg
rameshwaram,Rameshwaram,India,Asia,"Rameshwaram is a sacred island town connected to the Ramayana epic as the place where Lord Rama built a bridge to Lanka. Visitors bathe in the 22 holy wells of Ramanathaswamy Temple, visit Dhanushkodi ghost town, and walk on Pamban Bridge. The town offers pristine beaches, pilgrimage sites, and the southernmost point of the Indian railway network.","['Spiritual', 'Pilgrimage', 'Coastal']",https://storage.googleapis.com/tripedia-images/destinations/rameshwaram.jpg
vrindavan,Vrindavan,India,Asia,"Vrindavan is where Lord Krishna spent his childhood and is dotted with temples dedicated to him. Visitors attend elaborate worship ceremonies with music and dance, explore sacred groves where Krishna played, and experience the vibrant Holi celebrations. The town offers insights into Krishna devotion, ashrams, and the traditions of the widows of Vrindavan.","['Spiritual', 'Krishna', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/vrindavan.jpg
coimbatore,Coimbatore,India,Asia,"Coimbatore is an industrial city known as the 'Manchester of South India' with proximity to scenic Western Ghats. Visitors explore the Marudamalai Temple, Dhyanalinga Yogic Temple, and take day trips to nearby hill stations. The city offers textile shopping, South Indian cuisine, pleasant climate, and the massive Adiyogi Shiva statue nearby.","['Industrial', 'Temples', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/coimbatore.jpg
lucknow,Lucknow,India,Asia,"Lucknow is known for its Nawabi heritage, refined culture, and exquisite cuisine. Visitors explore magnificent structures like Bara Imambara and Rumi Darwaza, experience the city's renowned etiquette and manners, and indulge in Awadhi delicacies. The city offers intricate chikankari embroidery, traditional dance forms, and a blend of Hindu and Islamic influences.","['Heritage', 'Cuisine', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/lucknow.jpg
digha,Digha,India,Asia,"Digha is a popular seaside resort town in West Bengal known for its gentle sea with a shallow sand beach. Visitors enjoy sunrise and sunset views at the beach, visit the Marine Aquarium and Research Centre, and explore the Amarabati Park. The town offers seafood cuisine, camel rides on the beach, and a laid-back coastal atmosphere.","['Beach', 'Weekend getaway', 'Seaside']",https://storage.googleapis.com/tripedia-images/destinations/digha.jpg
dharamshala,Dharamshala,India,Asia,"Dharamshala is home to the Dalai Lama and the Tibetan government-in-exile. Visitors learn about Tibetan culture at monasteries and the Tibet Museum, trek to Triund Hill, and enjoy panoramic Himalayan views. The area offers meditation retreats, Tibetan cuisine, cricket matches at one of the world's most scenic stadiums, and a vibrant expatriate community.","['Mountain', 'Buddhist', 'Tibetan culture']",https://storage.googleapis.com/tripedia-images/destinations/dharamshala.jpg
kovalam,Kovalam,India,Asia,"Kovalam is a beach town in Kerala known for its crescent-shaped beaches and Ayurvedic treatments. Visitors relax on Lighthouse Beach, undergo rejuvenating Ayurvedic spa therapies, and watch fishermen with their traditional catamarans. The town offers seafood cuisine, water sports, and a more developed beach experience than many other Kerala coastal areas.","['Beach', 'Ayurveda', 'Relaxation']",https://storage.googleapis.com/tripedia-images/destinations/kovalam.jpg
kaziranga_national_park,Kaziranga National Park,India,Asia,"Kaziranga National Park is a UNESCO World Heritage Site and home to two-thirds of the world's one-horned rhinoceroses. Visitors take jeep and elephant safaris to spot rhinos, tigers, elephants, and water buffalo. The park features diverse habitats from grasslands to forests, the mighty Brahmaputra River, and successful conservation efforts.","['Wildlife', 'National park', 'Rhinos']",https://storage.googleapis.com/tripedia-images/destinations/kaziranga_national_park.jpg
madikeri,Madikeri,India,Asia,"Madikeri is the main town in the coffee-growing region of Coorg, set amidst misty hills. Visitors explore the historic Madikeri Fort, Abbey Falls, and Raja's Seat for sunset views over the valleys. The town offers coffee plantation tours, insights into Kodava culture, homestay experiences, and access to trekking trails in the Western Ghats.","['Hill station', 'Coffee plantations', 'Nature']",https://storage.googleapis.com/tripedia-images/destinations/madikeri.jpg
matheran,Matheran,India,Asia,"Matheran is Asia's only automobile-free hill station, accessed by a narrow-gauge toy train. Visitors explore numerous viewpoints like Echo Point and Panorama Point on foot or horseback, and experience the peaceful environment free from vehicle pollution. The hill station offers red laterite paths through forests, colonial-era architecture, and cooling respite from Mumbai's heat.","['Hill station', 'No vehicles', 'Viewpoints']",https://storage.googleapis.com/tripedia-images/destinations/matheran.jpg
